RADICADO,FECHA 1,HORA,DÍA DE LA SEMANA,CLASE,DIRECCIÓN,GRAVEDAD,BARRIO,DISEÑO
2897,2004-11-22,5:32:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2898,2004-11-10,6:40:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,CENTRO,INTERSECCION
2899,2004-11-29,10:10:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,LOTE O PREDIO
2900,2004-11-27,2:45:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2901,2004-11-28,12:01:00,DOMINGO,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2902,2004-11-11,3:20:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,LA MIEL,INTERSECCION
2903,2004-11-22,9:40:00,LUNES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2904,2004-11-11,10:00:00,JUEVES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,ANDALUCIA,SIN INFORMACION
2905,2004-11-23,2:00:00,MARTES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2906,2004-11-12,8:10:00,VIERNES,CHOQUE,SIN INFORMACION,HERIDOS,CENTRO,INTERSECCION
2907,2004-11-30,5:30:00,MARTES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,PRIMAVERA,SIN INFORMACION
2908,2004-11-24,7:00:00,MIERCOLES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
2909,2004-11-13,12:00:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,CENTRO,TRAMO DE VIA
2910,2004-11-01,7:00:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,LA VARIANTE,TRAMO DE VIA
2911,2004-11-26,8:00:00,VIERNES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
2912,2004-11-14,2:30:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,LA VARIANTE,SIN INFORMACION
2913,2004-11-02,5:00:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2914,2004-11-15,5:00:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,LA VARIANTE,LOTE O PREDIO
2915,2004-11-03,9:10:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2916,2004-11-14,10:40:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,CENTRO,LOTE O PREDIO
2917,2004-11-07,5:00:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2918,2004-11-27,12:00:00,SABADO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
2919,2004-11-04,7:20:00,JUEVES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
2920,2004-11-14,10:30:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,LA RIVERA,TRAMO DE VIA
2921,2004-11-04,7:40:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2922,2004-11-27,6:20:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2923,2004-11-15,6:35:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,MANDALAY,SIN INFORMACION
2924,2004-11-05,11:30:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2925,2004-11-15,1:40:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,LOS CEREZOZ,SIN INFORMACION
2926,2004-11-05,6:20:00,VIERNES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
2927,2004-11-06,7:20:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2928,2004-11-16,7:30:00,MARTES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2929,2004-11-06,5:30:00,SABADO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2930,2004-11-16,4:00:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2931,2004-11-07,11:35:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2932,2004-11-16,1:00:00,MARTES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2933,2004-11-07,3:40:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2934,2004-11-17,9:00:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2935,2004-11-07,3:30:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,LA CLARA,SIN INFORMACION
2936,2004-11-18,11:35:00,JUEVES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2937,2004-11-08,9:00:00,LUNES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2938,2004-11-18,9:30:00,JUEVES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
2939,2004-11-08,12:50:00,LUNES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2940,2004-11-18,2:30:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2941,2004-11-20,5:30:00,SABADO,ATROPELLO,SIN INFORMACION,HERIDOS,LA MIEL,TRAMO DE VIA
2942,2004-11-20,1:50:00,SABADO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
2943,2004-10-20,12:50:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2944,2004-11-21,11:40:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2945,2004-11-22,6:10:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2946,2004-11-22,7:50:00,LUNES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2947,2004-12-08,3:10:00,MIERCOLES,ATROPELLO,SIN INFORMACION,HERIDOS,ANDA LUCIA,SIN INFORMACION
2948,2004-12-10,7:00:00,VIERNES,OTRO,SIN INFORMACION,HERIDOS,CENTRO,TRAMO DE VIA
2949,2004-12-12,11:40:00,DOMINGO,ATROPELLO,SIN INFORMACION,HERIDOS,CENTRO,TRAMO DE VIA
2950,2004-12-14,8:05:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,CENTRO,TRAMO DE VIA
2951,2004-12-14,5:30:00,MARTES,ATROPELLO,SIN INFORMACION,HERIDOS,BELLAVISTA,SIN INFORMACION
2952,2004-12-09,1:20:00,JUEVES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
2953,2004-12-20,11:15:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,SINIFANA,TRAMO DE VIA
2954,2004-12-12,7:00:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2955,2004-12-19,7:00:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,LA QUIEBRA,SIN INFORMACION
2956,2004-12-12,1:50:00,DOMINGO,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2957,2004-12-20,9:20:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,CENTRO,TRAMO DE VIA
2958,2004-12-20,3:00:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,CENTRO,INTERSECCION
2959,2004-12-12,2:30:00,DOMINGO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2960,2004-12-20,1:20:00,LUNES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,OLAYA HERRERA,TRAMO DE VIA
2961,2004-12-11,12:30:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2962,2004-12-08,1:30:00,MIERCOLES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2963,2004-12-20,6:00:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,CENTRO,INTERSECCION
2964,2004-12-11,5:30:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2965,2004-12-17,12:15:00,VIERNES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2966,2004-12-11,10:00:00,SABADO,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2967,2004-12-17,6:45:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2968,2004-12-01,10:00:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2969,2004-12-22,8:50:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,LA TRIGALIA,TRAMO DE VIA
2970,2004-12-02,11:00:00,JUEVES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
2971,2004-12-25,6:30:00,SABADO,ATROPELLO,SIN INFORMACION,HERIDOS,BELLAVISTA,SIN INFORMACION
2972,2004-12-17,11:50:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2973,2004-12-02,7:20:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2974,2004-12-03,5:00:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2975,2004-12-25,4:30:00,SABADO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,ALTO DE MINAS,TRAMO DE VIA
2976,2004-12-04,4:00:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,LA VARIANTE,TRAMO DE VIA
2977,2004-12-18,4:00:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2978,2004-12-04,5:40:00,SABADO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2979,2004-12-19,7:00:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2980,2004-12-04,5:20:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2981,2004-12-05,6:30:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2982,2004-10-16,6:20:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2983,2004-12-05,9:30:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2985,2004-12-24,4:30:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,BELLAVISTA,SIN INFORMACION
2986,2004-12-06,7:30:00,LUNES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
2987,2004-12-06,5:10:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,SIN INFORMACION
2988,2004-12-25,10:30:00,SABADO,ATROPELLO,SIN INFORMACION,HERIDOS,LA RAYA,SIN INFORMACION
2989,2004-12-07,7:40:00,MARTES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2990,2004-12-30,12:00:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,SIN INFORMACION
2991,2004-12-29,11:00:00,MIERCOLES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,PRIMAVERA,TRAMO DE VIA
2992,2004-12-07,2:30:00,MARTES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,LA VARIANTE,TRAMO DE VIA
2993,2004-12-30,7:10:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2994,2004-12-29,5:30:00,MIERCOLES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,PRIMAVERA,TRAMO DE VIA
2995,2004-12-30,7:40:00,JUEVES,CHOQUE,SIN INFORMACION,HERIDOS,PRIMAVERA,SIN INFORMACION
2996,2004-12-25,7:10:00,SABADO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2997,2004-12-21,5:05:00,MARTES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2998,2004-12-22,9:15:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2999,2004-12-22,5:30:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3000,2004-12-08,9:00:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3001,2003-01-01,6:10:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,PRIMAVERA,LOTE O PREDIO
3002,2003-01-01,7:20:00,MIERCOLES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
3003,2003-01-04,5:20:00,SABADO,OTRO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3004,2003-01-06,5:15:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,PRIMAVERA,SIN INFORMACION
3005,2003-01-06,6:20:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,SALINAS,TRAMO DE VIA
3006,2003-01-07,10:00:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3007,2003-01-08,9:30:00,MIERCOLES,OTRO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3008,2003-01-08,9:45:00,MIERCOLES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
3009,2003-01-10,10:30:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3010,2003-01-10,11:00:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3011,2003-01-10,2:05:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3012,2003-01-11,9:50:00,SABADO,OTRO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3013,2003-01-12,12:30:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3014,2003-01-13,12:30:00,LUNES,OTRO,SIN INFORMACION,HERIDOS,LOS CEREZOZ,TRAMO DE VIA
3015,2003-01-15,5:40:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3016,2003-01-15,11:50:00,MIERCOLES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3017,2003-01-17,8:30:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3018,2003-01-24,1:40:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3019,2003-01-24,6:40:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3020,2003-01-25,5:00:00,SABADO,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
3021,2003-01-20,5:40:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3022,2003-01-26,12:30:00,DOMINGO,ATROPELLO,SIN INFORMACION,HERIDOS,LA INMACULADA,SIN INFORMACION
3023,2003-01-26,7:30:00,DOMINGO,OTRO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3024,2003-01-18,1:10:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,LA VARIANTE,LOTE O PREDIO
3025,2003-01-27,7:10:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,LA MIEL,TRAMO DE VIA
3026,2003-01-30,5:20:00,JUEVES,OTRO,SIN INFORMACION,HERIDOS,LA VARIANTE,TRAMO DE VIA
3027,2003-01-30,4:00:00,JUEVES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3028,2003-01-31,10:00:00,VIERNES,OTRO,SIN INFORMACION,HERIDOS,LA RAYA,TRAMO DE VIA
3029,2003-01-19,2:00:00,DOMINGO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3030,2003-01-20,11:30:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3031,2003-01-23,2:00:00,JUEVES,OTRO,SIN INFORMACION,HERIDOS,CRISTO REY,SIN INFORMACION
3032,2003-01-22,4:30:00,MIERCOLES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3033,2003-01-23,5:30:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3034,2005-01-22,9:10:00,SABADO,CHOQUE,SIN INFORMACION,HERIDOS,ALTO DE MINAS,TRAMO DE VIA
3035,2003-01-24,6:20:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3036,2003-01-24,2:10:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,PARQUE LA LOCERIA,TRAMO DE VIA
3037,2003-02-01,9:05:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3038,2003-02-02,9:30:00,DOMINGO,OTRO,SIN INFORMACION,HERIDOS,PRIMAVERA,SIN INFORMACION
3039,2003-02-02,8:10:00,DOMINGO,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,MANDALAY,SIN INFORMACION
3040,2003-02-02,4:50:00,DOMINGO,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
3041,2003-02-03,10:00:00,LUNES,CHOQUE,SIN INFORMACION,HERIDOS,ALTO DE MINAS,TRAMO DE VIA
3042,2003-02-03,5:40:00,LUNES,OTRO,SIN INFORMACION,HERIDOS,LA MIEL,SIN INFORMACION
3043,2003-02-03,4:55:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3044,2003-02-04,7:00:00,MARTES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3045,2003-02-05,10:10:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,SIN INFORMACION
3046,2003-02-05,5:20:00,MIERCOLES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3047,2003-02-07,11:15:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,LA MIEL,PASO ELEVADO
3048,2003-02-09,12:20:00,DOMINGO,OTRO,SIN INFORMACION,HERIDOS,LA TOLVA,TRAMO DE VIA
3049,2003-02-10,2:25:00,LUNES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3050,2003-02-11,5:30:00,MARTES,CHOQUE,SIN INFORMACION,HERIDOS,PRIMAVERA,INTERSECCION
3051,2003-02-11,7:30:00,MARTES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,PASO ELEVADO
3052,2003-02-11,6:40:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,PRIMAVERA,TRAMO DE VIA
3053,2003-02-12,4:00:00,MIERCOLES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,LA CLARA,SIN INFORMACION
3054,2003-02-13,2:50:00,JUEVES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3055,2003-02-14,3:30:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3056,2003-02-14,7:50:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,PRIMAVERA,TRAMO DE VIA
3057,2003-02-15,12:20:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3058,2003-02-15,1:50:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3059,2003-02-15,6:35:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3060,2003-05-16,7:20:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3061,2003-02-16,8:00:00,DOMINGO,OTRO,SIN INFORMACION,HERIDOS,ALTO DE MINAS,SIN INFORMACION
3062,2003-02-16,7:10:00,DOMINGO,OTRO,SIN INFORMACION,HERIDOS,LA VALERIA,TRAMO DE VIA
3063,2003-02-16,1:30:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3064,2003-02-17,6:00:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3065,2003-02-17,8:10:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,BELLAVISTA,SIN INFORMACION
3066,2003-02-17,8:00:00,LUNES,OTRO,SIN INFORMACION,HERIDOS,LA MIEL,TRAMO DE VIA
3067,2003-02-20,6:40:00,JUEVES,CHOQUE,SIN INFORMACION,HERIDOS,TRICENTENARIO,SIN INFORMACION
3068,2003-02-20,6:00:00,JUEVES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
3069,2003-02-21,12:45:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3070,2003-02-21,3:20:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
3071,2003-02-22,1:30:00,SABADO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
3072,2003-02-23,4:10:00,DOMINGO,ATROPELLO,SIN INFORMACION,HERIDOS,SALINAS,TRAMO DE VIA
3073,2003-02-23,9:00:00,DOMINGO,OTRO,SIN INFORMACION,HERIDOS,PRIMAVERA,SIN INFORMACION
3074,2003-02-24,2:50:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,PASO ELEVADO
3075,2003-02-25,7:00:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3076,2003-02-26,1:00:00,MIERCOLES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
3077,2003-02-27,3:20:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3078,2003-02-28,9:30:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3079,2003-02-28,9:50:00,VIERNES,CHOQUE,SIN INFORMACION,HERIDOS,LA CORRALITA,TRAMO DE VIA
3080,2003-03-02,9:30:00,DOMINGO,CHOQUE,SIN INFORMACION,HERIDOS,LA VARIANTE,SIN INFORMACION
3081,2003-03-02,9:40:00,DOMINGO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3082,2003-03-02,4:20:00,DOMINGO,ATROPELLO,SIN INFORMACION,HERIDOS,BELLAVISTA,TRAMO DE VIA
3083,2003-03-02,11:40:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3084,2003-03-03,9:50:00,LUNES,OTRO,SIN INFORMACION,HERIDOS,LA VARIANTE,TRAMO DE VIA
3085,2003-03-05,11:45:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3086,2003-03-06,7:00:00,JUEVES,CAIDA OCUPANTE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3087,2003-03-07,11:50:00,VIERNES,OTRO,SIN INFORMACION,HERIDOS,LA MANSIÓN,SIN INFORMACION
3088,2003-03-07,8:20:00,VIERNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
3089,2003-03-07,12:15:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3090,2003-03-08,1:00:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3091,2003-03-09,5:45:00,DOMINGO,OTRO,SIN INFORMACION,HERIDOS,EL RAIZAL,TRAMO DE VIA
3092,2003-03-09,6:00:00,DOMINGO,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3093,2003-03-10,4:30:00,LUNES,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,SIN INFORMACION
3094,2003-03-10,10:35:00,LUNES,CHOQUE,SIN INFORMACION,HERIDOS,PRIMAVERA,TRAMO DE VIA
3095,2003-03-10,4:15:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3096,2003-03-10,10:20:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3097,2003-03-12,10:00:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
3098,2003-03-14,3:10:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,LA VARIANTE,TRAMO DE VIA
3099,2003-03-14,10:40:00,VIERNES,CHOQUE,SIN INFORMACION,DAÑOS,PRIMAVERA,TRAMO DE VIA
3100,2003-03-15,1:30:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,LA INMACULADA,INTERSECCION
3101,2003-03-16,4:00:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
3102,2003-03-18,5:30:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,PRIMAVERA,TRAMO DE VIA
3103,2003-03-18,5:20:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,LA RIVERA,TRAMO DE VIA
3104,2003-03-19,9:40:00,MIERCOLES,CHOQUE,SIN INFORMACION,HERIDOS,BELLAVISTA,TRAMO DE VIA
3105,2003-03-19,5:40:00,MIERCOLES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
3106,2003-03-21,3:00:00,VIERNES,OTRO,SIN INFORMACION,HERIDOS,LA RAYA,TRAMO DE VIA
3107,2003-03-22,7:30:00,SABADO,CHOQUE,SIN INFORMACION,HERIDOS,PARQUE CARRUSEL,TRAMO DE VIA
