RADICADO,FECHA 1,HORA,DÍA DE LA SEMANA,CLASE,DIRECCIÓN,GRAVEDAD,BARRIO,DISEÑO
8613,2011-06-10,4:20:00,VIERNES,CHOQUE,CARRERA 50 X KILOMETRO 47 CALDAS PINTADA,HERIDOS,ALTO DE MINAS,TRAMO DE VIA
8614,2011-06-09,3:30:00,JUEVES,CHOQUE,CARRERA 50 XKILOMETRO 90 PEAJE VIA AMAGA CALDAS,DAÑOS,LA MANÍ,TRAMO DE VIA
8615,2011-06-21,5:40:00,MARTES,ATROPELLO,CARRERA 50 X CALLE 140 SUR SANCOCHO,HERIDOS,HOSPITAL,INTERSECCION
8616,2011-06-22,2:20:00,MIERCOLES,ATROPELLO,CARRERA 50 X CALLE 134 SUR LA FLORISTERIA,HERIDOS,HOSPITAL,INTERSECCION
8617,2011-06-21,5:40:00,MARTES,CHOQUE,CARRERA 50 X KILOMETRO 88 CUATRO PALOS VIA CALDASAMAGA,DAÑOS,LA TOLVA,TRAMO DE VIA
8618,2011-06-23,11:40:00,JUEVES,CHOQUE,CARRERA 50 X KILOMETRO 94 VIA CALDAS AMAGA LA TOLVA,DAÑOS,LA TOLVA,TRAMO DE VIA
8619,2011-06-23,6:42:00,JUEVES,CAIDA OCUPANTE,CARRERA 50 X CALLE 107 LA RAYA,HERIDOS,LA RAYA,TRAMO DE VIA
8620,2011-06-24,3:50:00,VIERNES,CHOQUE,CARRERA 50 X CALLE 127 SUR ESQUINA HOLAYA,DAÑOS,CENTRO,TRAMO DE VIA
8621,2011-06-25,2:30:00,SABADO,CHOQUE,CARRERA 40 X CALLE 136 SUR BARRIO LA CORRALA,DAÑOS,LA CORRALITA,TRAMO DE VIA
8622,2011-06-25,12:15:00,SABADO,CAIDA OCUPANTE,CARRERA 50 X CALLE 108 SUR LA RAYA,HERIDOS,LA RAYA,TRAMO DE VIA
8623,2011-06-25,10:00:00,SABADO,CHOQUE,CARRERA 45 X CALLE 132 SECTOR ESTADIO,DAÑOS,LA VARIANTE,TRAMO DE VIA
8624,2011-06-26,7:10:00,DOMINGO,CHOQUE,CARRERA 45 X KILOMETRO 59 ELK VENTIADERO,DAÑOS,LA VARIANTE,LOTE O PREDIO
8625,2011-06-28,7:10:00,MARTES,CHOQUE,CARRERA 50 X CALLE 134 ESQUINA FLORISTERIA,HERIDOS,CENTRO,TRAMO DE VIA
8626,2011-06-28,7:03:00,MARTES,CHOQUE,CARRERA 45 X CALLE 134 SUR LA VARIANTE,HERIDOS,LA VARIANTE,INTERSECCION
8627,2011-06-23,10:30:00,JUEVES,CHOQUE,CARRERA 50 X KILOMETRO 44 ALTO DE MINAS,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8628,2011-06-27,4:25:00,LUNES,CHOQUE,CARRERA 50 X KILOMETRO 50 VIA MEDELLIN PINTADA,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8629,2011-06-28,9:00:00,MARTES,CHOQUE,CARRERA 50 X KILOMETRO 54 MANSA PRIMEVERA,HERIDOS,PRIMAVERA,INTERSECCION
8630,2011-06-29,6:20:00,MIERCOLES,ATROPELLO,CARRERA 50 X CALLE 133 SUR ESQUINA PITUFOS,HERIDOS,CENTRO,TRAMO DE VIA
8631,2011-06-28,12:10:00,MARTES,CHOQUE,CARRERA 45 X CALLE 135 SUR HOSPITAL,HERIDOS,HOSPITAL,TRAMO DE VIA
8632,2011-06-30,12:50:00,JUEVES,ATROPELLO,CARERRA 50 X CALLE 138 SUR ESQUINA PANADERIA,HERIDOS,CRISTO REY,TRAMO DE VIA
8633,2011-06-30,11:40:00,JUEVES,CHOQUE,CARRERA 45 X CALLE 128 SUR LA VARIANTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8634,2011-06-30,5:10:00,JUEVES,ATROPELLO,CALLE 129 SUR X CARRERA 55 BARRIO LA PLANTA,HERIDOS,PARQUE LA LOCERIA,TRAMO DE VIA
8635,2011-06-30,3:15:00,JUEVES,CHOQUE,CARRERA 45 X CALLE 127 SUR LA VARIANTE,DAÑOS,LA VARIANTE,TRAMO DE VIA
